disease,symptoms
Fungal infection,"['itching', 'skinrash', 'nodalskineruptions', 'dischromic patch']"
Fungal infection,"['skinrash', 'nodalskineruptions', 'dischromic patch']"
Fungal infection,"['itching', 'nodalskineruptions', 'dischromic patch']"
Fungal infection,"['itching', 'skinrash', 'dischromic patch']"
Fungal infection,"['itching', 'skinrash', 'nodalskineruptions']"
Fungal infection,"['skinrash', 'nodalskineruptions', 'dischromic patch']"
Fungal infection,"['itching', 'nodalskineruptions', 'dischromic patch']"
Fungal infection,"['itching', 'skinrash', 'dischromic patch']"
Fungal infection,"['itching', 'skinrash', 'nodalskineruptions']"
Fungal infection,"['itching', 'skinrash', 'nodalskineruptions', 'dischromic patch']"
Allergy,"['continuoussneezing', 'shivering', 'chill', 'wateringfromeyes']"
Allergy,"['shivering', 'chill', 'wateringfromeyes']"
Allergy,"['continuoussneezing', 'chill', 'wateringfromeyes']"
Allergy,"['continuoussneezing', 'shivering', 'wateringfromeyes']"
Allergy,"['continuoussneezing', 'shivering', 'chill']"
Allergy,"['shivering', 'chill', 'wateringfromeyes']"
Allergy,"['continuoussneezing', 'chill', 'wateringfromeyes']"
Allergy,"['continuoussneezing', 'shivering', 'wateringfromeyes']"
Allergy,"['continuoussneezing', 'shivering', 'chill']"
Allergy,"['continuoussneezing', 'shivering', 'chill', 'wateringfromeyes']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'vomiting', 'cough', 'chestpain']"
GERD,"['stomachpain', 'ulcersontongue', 'vomiting', 'cough', 'chestpain']"
GERD,"['stomachpain', 'acidity', 'vomiting', 'cough', 'chestpain']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'cough', 'chestpain']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'vomiting', 'chestpain']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'vomiting', 'cough']"
GERD,"['acidity', 'ulcersontongue', 'vomiting', 'cough', 'chestpain']"
GERD,"['stomachpain', 'ulcersontongue', 'vomiting', 'cough', 'chestpain']"
GERD,"['stomachpain', 'acidity', 'vomiting', 'cough', 'chestpain']"
GERD,"['stomachpain', 'acidity', 'ulcersontongue', 'cough', 'chestpain']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['itching', 'yellowishskin', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['itching', 'vomiting', 'nausea', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'lossofappetite', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'abdominalpain', 'yellowingofeyes']"
Chronic cholestasis,"['itching', 'vomiting', 'yellowishskin', 'nausea', 'lossofappetite', 'yellowingofeyes']"
